AGI;abscisic_acid;auxin;brassinosteroid;cytokinin;ethylene;gibberellin;jasmonic_acid;salicylic_acid;summary;summary_detailed;pieVec
AT1G02205;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G04120;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G04710;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G06390;1;0;1;0;0;0;0;0;multiple;abscisic acid,brassinosteroid;piechart: valuelist="1,0,1,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G07420;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G08260;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G08920;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G09700;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G09950;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G15100;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G16060;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G18080;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G20780;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G21970;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G25490;1;0;0;0;1;0;0;0;multiple;abscisic acid,ethylene;piechart: valuelist="1,0,0,0,1,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G28300;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G32640;1;0;0;0;0;0;1;0;multiple;abscisic acid,jasmonic acid;piechart: valuelist="1,0,0,0,0,0,1,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G34120;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G35515;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G35670;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G43160;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G48630;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G49430;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G50200;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G51500;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G51965;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G52920;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G56070;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G66600;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G69270;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G69935;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G72770;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G78590;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G13540;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G17290;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G18470;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
