IntA;IntB;BioGRID;Biogrid_SS;BioGRID_Quality
AT1G01140;AT2G23290;1;1;binary
AT1G01360;AT4G26080;1;1;HQ
AT1G04100;AT1G15050;1;1;binary
AT1G04100;AT3G04730;1;1;binary
AT1G04100;AT3G23030;1;1;HQ
AT1G04240;AT1G04250;1;1;binary
AT1G04250;AT3G15540;1;1;binary
AT1G04550;AT1G04550;1;1;HQ
AT1G04550;AT2G33310;1;1;binary
AT1G04550;AT3G04730;1;1;binary
AT1G04550;AT3G15540;1;1;binary
AT1G07430;AT4G01026;1;1;HQ
AT1G07430;AT4G18620;1;1;binary
AT1G15050;AT3G23050;1;1;binary
AT1G17380;AT4G28910;1;1;HQ
AT1G19050;AT3G29350;1;1;HQ
AT1G30270;AT5G47100;1;1;HQ
AT1G37130;AT1G37130;1;1;binary
AT1G52340;AT1G52340;1;1;binary
AT1G53510;AT2G01570;1;1;binary
AT1G64280;AT5G06950;1;1;HQ
AT1G65620;AT2G37630;1;1;HQ
AT1G75080;AT2G01570;1;1;HQ
AT2G01760;AT2G23290;1;1;binary
AT2G02560;AT4G08150;1;1;binary
AT2G29380;AT4G01026;1;1;binary
AT2G33310;AT3G15540;1;1;binary
AT2G33310;AT3G23050;1;1;binary
AT2G38490;AT4G28640;1;1;binary
AT2G40330;AT4G26080;1;1;HQ
AT2G44950;AT2G44950;1;1;binary
AT3G04730;AT3G15540;1;1;HQ
AT3G15540;AT3G17600;1;1;binary
AT3G15540;AT3G23030;1;1;binary
AT3G15540;AT4G14560;1;1;HQ
AT3G17600;AT4G30080;1;1;binary
AT3G23030;AT3G23050;1;1;binary
AT4G14560;AT4G14560;1;1;HQ
AT4G15560;AT4G15560;1;1;binary
AT4G26080;AT4G27920;1;1;non-binary
AT4G26080;AT5G05440;1;1;HQ
AT4G26080;AT5G53160;1;1;HQ
AT4G28910;AT4G32570;1;1;HQ
AT5G17690;AT5G17690;1;1;HQ
AT5G35410;AT5G47100;1;1;binary
AT5G47100;AT5G58380;1;1;binary
AT1G04250;AT1G04250;1;1;HQ
AT4G36930;AT4G36930;1;1;binary
AT1G17550;AT5G53160;1;1;non-binary
AT4G37260;AT5G53160;1;1;binary
AT1G04250;AT4G14560;1;1;binary
AT1G19220;AT3G23050;1;1;binary
AT1G04250;AT3G61830;1;1;non-binary
AT1G04250;AT1G04550;1;1;HQ
AT2G30020;AT4G01370;1;1;HQ
AT1G74950;AT4G28910;1;1;binary
AT1G64280;AT3G12250;1;1;HQ
AT3G29350;AT4G16110;1;1;HQ
AT4G01370;AT4G29810;1;1;HQ
AT5G01600;AT5G01600;1;1;binary
AT5G67300;AT5G67300;1;1;binary
AT5G53160;AT5G67300;1;1;binary
AT1G72450;AT4G28910;1;1;binary
AT1G07430;AT5G53160;1;1;HQ
AT1G01360;AT1G07430;1;1;binary
AT2G25490;AT4G02570;1;1;binary
AT4G28910;AT5G13220;1;1;HQ
AT1G31880;AT1G51660;1;1;binary
AT1G31880;AT2G32960;1;1;binary
AT1G31880;AT2G24570;1;1;binary
AT1G64280;AT5G06960;1;1;HQ
AT1G14920;AT4G24210;1;1;HQ
AT3G29350;AT4G31920;1;1;HQ
AT2G25000;AT2G25000;1;1;HQ
AT2G40330;AT5G57050;1;1;HQ
AT5G05440;AT5G57050;1;1;HQ
AT5G53160;AT5G57050;1;1;HQ
AT1G01360;AT5G57050;1;1;HQ
AT1G51660;AT3G45640;1;1;binary
AT4G01370;AT4G26070;1;1;HQ
AT4G27450;AT5G43830;1;1;binary
AT1G19180;AT4G28910;1;1;HQ
AT1G70700;AT4G28910;1;1;binary
AT1G31880;AT5G60120;1;1;binary
AT1G31880;AT2G46870;1;1;binary
AT1G31880;AT1G69810;1;1;binary
AT1G01140;AT1G31880;1;1;binary
AT1G80840;AT5G22570;1;1;binary
AT1G14920;AT1G53510;1;1;binary
AT1G14920;AT1G70700;1;1;binary
AT2G29380;AT5G53160;1;1;binary
AT1G32640;AT1G70700;1;1;HQ
AT1G17380;AT1G32640;1;1;HQ
AT1G69810;AT2G25000;1;1;binary
AT2G01760;AT4G32570;1;1;binary
AT1G01360;AT2G29380;1;1;binary
AT4G01370;AT5G56580;1;1;HQ
AT4G14720;AT4G28910;1;1;non-binary
AT1G23860;AT3G61860;1;1;binary
AT5G53160;AT5G59220;1;1;HQ
AT4G14720;AT4G32570;1;1;HQ
AT1G10210;AT5G40440;1;1;binary
AT4G27920;AT5G57050;1;1;binary
AT4G00120;AT4G36930;1;1;binary
AT2G30020;AT2G43790;1;1;HQ
AT4G29810;AT5G58950;1;1;binary
AT1G51660;AT2G43790;1;1;binary
AT2G43790;AT4G29810;1;1;HQ
AT3G21175;AT5G11270;1;1;binary
AT3G52930;AT5G03690;1;1;binary
AT1G64280;AT5G65210;1;1;HQ
AT1G51600;AT3G21175;1;1;binary
AT1G69010;AT1G69010;1;1;binary
AT1G04240;AT4G14560;1;1;HQ
AT1G04240;AT3G15540;1;1;binary
AT3G15540;AT3G23050;1;1;binary
AT1G19180;AT1G30135;1;1;HQ
AT3G42960;AT3G42960;1;1;binary
AT1G01140;AT5G47100;1;1;HQ
AT3G21175;AT3G21175;1;1;binary
AT5G58220;AT5G58220;1;1;binary
AT2G26560;AT2G26560;1;1;binary
AT4G26110;AT4G26110;1;1;binary
AT1G19180;AT1G19180;1;1;HQ
AT3G45640;AT3G63210;1;1;binary
AT2G39760;AT2G39760;1;1;HQ
AT1G25490;AT5G64813;1;1;binary
AT1G04240;AT5G25890;1;1;binary
AT3G23050;AT5G25890;1;1;HQ
AT4G14560;AT5G25890;1;1;HQ
AT1G04240;AT1G04550;1;1;binary
AT2G29380;AT4G27920;1;1;binary
AT2G43790;AT5G56580;1;1;non-binary
AT2G25090;AT5G47100;1;1;binary
AT3G17510;AT5G47100;1;1;non-binary
AT3G61830;AT5G25890;1;1;non-binary
AT1G04550;AT5G25890;1;1;binary
AT1G22070;AT1G64280;1;1;HQ
AT1G04550;AT3G23050;1;1;binary
AT2G37630;AT2G37630;1;1;HQ
AT3G11410;AT4G27920;1;1;HQ
AT3G61830;AT3G61830;1;1;non-binary
AT2G22090;AT2G22090;1;1;binary
AT4G27920;AT5G59220;1;1;binary
AT4G14713;AT4G14720;1;1;binary
AT1G07430;AT4G27920;1;1;binary
AT2G40330;AT3G11410;1;1;HQ
AT3G11410;AT5G05440;1;1;HQ
AT2G38310;AT3G11410;1;1;HQ
AT3G11410;AT5G53160;1;1;HQ
AT1G01360;AT3G11410;1;1;binary
AT4G28910;AT5G20900;1;1;HQ
AT1G75080;AT5G17490;1;1;non-binary
AT1G80840;AT2G25000;1;1;binary
AT1G28480;AT5G06950;1;0;HQ
AT2G25650;AT5G06950;1;0;binary
AT1G04250;AT1G19220;1;1;binary
AT1G51950;AT3G23050;1;1;HQ
AT2G30360;AT5G47100;1;1;binary
AT1G75950;AT2G25490;1;0;HQ
AT3G01670;AT5G54190;1;0;binary
AT3G23050;AT3G62100;1;1;binary
AT1G04240;AT3G23050;1;1;binary
AT1G04250;AT1G51950;1;1;HQ
AT1G19220;AT1G51950;1;1;binary
AT1G04100;AT1G19220;1;1;binary
AT1G19220;AT3G04730;1;1;binary
AT3G56090;AT5G01600;1;0;binary
AT4G08150;AT5G50680;1;0;binary
AT2G44050;AT5G01820;1;1;binary
AT1G50170;AT3G60630;1;0;binary
AT1G72030;AT3G60630;1;0;binary
AT2G45820;AT4G02150;1;0;HQ
AT1G50420;AT4G22220;1;0;binary
AT1G20780;AT5G03050;1;0;binary
AT1G31240;AT1G50420;1;0;binary
AT1G50420;AT5G52210;1;0;binary
AT2G45820;AT5G23750;1;0;binary
AT3G46060;AT4G17720;1;0;binary
AT4G17720;AT4G18800;1;0;binary
AT1G31880;AT5G22310;1;0;binary
AT1G31880;AT3G11400;1;0;binary
AT1G31880;AT1G49850;1;0;binary
AT1G05710;AT1G31880;1;0;binary
AT1G31880;AT3G54170;1;0;binary
AT1G01210;AT1G31880;1;0;binary
AT1G31880;AT3G27580;1;0;binary
AT1G03900;AT1G31880;1;0;binary
AT3G12720;AT5G57860;1;0;binary
AT1G74910;AT2G39770;1;0;binary
AT1G15570;AT3G12720;1;0;binary
AT2G43370;AT3G61860;1;0;binary
AT2G25000;AT5G52650;1;0;binary
AT3G21215;AT5G04430;1;0;binary
AT1G72360;AT2G38490;1;1;binary
AT1G68450;AT5G41570;1;0;binary
AT3G06430;AT4G32570;1;0;binary
AT3G18140;AT4G32570;1;0;binary
AT2G22880;AT5G41570;1;0;binary
AT3G16980;AT4G32570;1;0;binary
AT1G11810;AT4G32570;1;0;binary
AT1G51600;AT3G01990;1;0;binary
AT1G51600;AT2G47450;1;0;binary
AT1G01260;AT1G51600;1;0;binary
AT1G21690;AT3G29090;1;0;binary
AT3G15450;AT5G43830;1;0;binary
AT4G14710;AT5G43830;1;0;binary
AT4G14716;AT5G43830;1;0;binary
AT1G04240;AT3G23030;1;1;binary
AT1G04240;AT3G04730;1;1;binary
AT3G21175;AT4G09060;1;0;binary
AT2G24090;AT4G26110;1;0;binary
AT2G32840;AT4G00120;1;0;binary
AT2G38270;AT4G00120;1;0;binary
AT1G04240;AT1G51950;1;1;HQ
AT1G04240;AT1G09500;1;0;binary
AT2G18730;AT2G43790;1;0;binary
AT1G30880;AT4G26110;1;0;binary
AT1G09700;AT5G41070;1;0;HQ
AT3G18140;AT4G14560;1;0;binary
AT3G23030;AT4G14560;1;1;binary
AT2G43060;AT4G26110;1;0;binary
AT2G39760;AT4G22720;1;0;binary
AT4G17615;AT5G10930;1;0;binary
AT4G17615;AT5G35410;1;0;HQ
AT1G51950;AT5G25890;1;1;HQ
AT1G28360;AT5G24660;1;0;binary
AT1G01260;AT3G43440;1;0;binary
AT1G22070;AT3G02000;1;0;HQ
AT1G04550;AT1G51950;1;1;HQ
AT1G04550;AT3G17600;1;1;binary
AT4G14720;AT4G32295;1;0;HQ
AT1G23860;AT3G50670;1;0;HQ
AT1G04550;AT2G22670;1;1;HQ
AT1G04550;AT4G14550;1;1;binary
AT2G01570;AT3G63010;1;1;HQ
AT1G04550;AT5G43700;1;1;binary
AT4G08150;AT4G32980;1;0;binary
AT2G16400;AT4G08150;1;0;HQ
AT1G04250;AT3G23030;1;1;binary
AT1G04250;AT4G14550;1;1;binary
AT1G04250;AT1G15580;1;1;binary
AT1G28360;AT1G69690;1;0;binary
AT1G28360;AT5G60120;1;1;binary
AT1G14920;AT1G75080;1;1;HQ
AT4G18710;AT5G62000;1;1;HQ
AT1G14920;AT1G19180;1;1;binary
AT1G19180;AT1G74950;1;1;binary
AT1G19180;AT4G17880;1;0;HQ
AT1G01260;AT1G19180;1;0;HQ
AT1G74950;AT1G74950;1;1;binary
AT1G74950;AT4G17880;1;0;HQ
AT1G01260;AT1G74950;1;0;binary
AT2G45190;AT3G17860;1;0;binary
AT3G17860;AT4G17880;1;0;HQ
AT3G17860;AT4G14720;1;1;HQ
AT1G01260;AT3G17860;1;0;binary
AT2G27110;AT3G17860;1;0;binary
AT1G17380;AT4G17880;1;0;HQ
AT1G01260;AT1G17380;1;0;binary
AT1G72450;AT4G17880;1;0;HQ
AT1G01260;AT1G72450;1;0;binary
AT2G34600;AT4G17880;1;0;HQ
AT1G30135;AT4G17880;1;0;HQ
AT1G01260;AT1G30135;1;0;HQ
AT1G70700;AT4G17880;1;0;HQ
AT1G01260;AT1G70700;1;0;binary
AT4G17880;AT5G13220;1;0;HQ
AT1G01260;AT5G13220;1;0;HQ
AT4G17880;AT5G20900;1;0;HQ
AT4G14560;AT5G43700;1;1;binary
AT1G52830;AT4G14560;1;0;binary
AT4G14560;AT4G29080;1;1;binary
AT2G22670;AT4G14560;1;1;binary
AT3G04730;AT4G14560;1;1;binary
AT1G80390;AT4G14560;1;1;binary
AT2G46990;AT3G23030;1;1;binary
AT3G23030;AT5G43700;1;1;binary
AT3G23030;AT4G29080;1;1;binary
AT3G23030;AT3G23030;1;1;HQ
AT3G23030;AT5G25890;1;1;HQ
AT2G22670;AT3G23030;1;1;binary
AT3G23030;AT4G22745;1;0;binary
AT3G04730;AT3G23030;1;1;HQ
AT1G04240;AT2G46990;1;1;binary
AT1G04240;AT5G43700;1;1;binary
AT1G04240;AT1G04240;1;1;binary
AT1G04240;AT4G29080;1;1;binary
AT1G04240;AT3G17600;1;1;binary
AT1G04240;AT2G33310;1;1;binary
AT1G04240;AT2G22670;1;1;binary
AT1G04240;AT1G15050;1;1;binary
AT1G04240;AT1G80390;1;1;binary
AT2G46990;AT5G43700;1;1;binary
AT5G43700;AT5G43700;1;1;HQ
AT3G15540;AT5G43700;1;1;binary
AT4G29080;AT5G43700;1;1;binary
AT2G33310;AT5G43700;1;1;binary
AT5G25890;AT5G43700;1;1;binary
AT2G22670;AT5G43700;1;1;binary
AT3G04730;AT5G43700;1;1;binary
AT1G04100;AT5G43700;1;1;HQ
AT1G04250;AT5G43700;1;1;binary
AT1G80390;AT5G43700;1;1;binary
AT1G15580;AT2G46990;1;1;binary
AT1G15580;AT4G30080;1;1;binary
AT1G15580;AT5G43700;1;1;binary
AT1G15580;AT3G15540;1;1;binary
AT1G04240;AT1G15580;1;1;binary
AT1G15580;AT4G29080;1;1;binary
AT1G15580;AT3G17600;1;1;binary
AT1G15580;AT2G33310;1;1;binary
AT1G15580;AT3G23030;1;1;binary
AT1G15580;AT4G14560;1;1;binary
AT1G15580;AT5G25890;1;1;binary
AT1G15580;AT2G22670;1;1;binary
AT1G15580;AT3G04730;1;1;binary
AT1G04100;AT1G15580;1;1;binary
AT1G15050;AT1G15580;1;1;binary
AT1G15580;AT1G80390;1;1;binary
AT1G52830;AT1G52830;1;0;binary
AT1G52830;AT4G29080;1;0;binary
AT1G52830;AT5G25890;1;0;binary
AT1G04100;AT1G52830;1;0;binary
AT1G15050;AT1G52830;1;0;binary
AT1G04250;AT1G52830;1;0;binary
AT5G43700;AT5G65670;1;0;binary
AT3G15540;AT5G65670;1;0;binary
AT1G04240;AT5G65670;1;0;binary
AT4G29080;AT5G65670;1;0;binary
AT2G33310;AT5G65670;1;0;binary
AT3G23030;AT5G65670;1;0;binary
AT4G14560;AT5G65670;1;0;binary
AT5G25890;AT5G65670;1;0;binary
AT2G22670;AT5G65670;1;0;binary
AT3G16500;AT5G65670;1;0;binary
AT3G04730;AT5G65670;1;0;binary
AT1G04100;AT5G65670;1;0;binary
AT1G15050;AT5G65670;1;0;binary
AT1G04250;AT5G65670;1;0;binary
AT1G80390;AT5G65670;1;0;binary
AT1G04100;AT3G15540;1;1;HQ
AT1G04100;AT4G29080;1;1;binary
AT1G04100;AT3G17600;1;1;binary
AT1G04100;AT5G25890;1;1;HQ
AT1G04100;AT2G22670;1;1;binary
AT1G04100;AT1G04100;1;1;binary
AT1G04100;AT1G04250;1;1;binary
AT1G04100;AT1G80390;1;1;binary
AT1G04100;AT5G62000;1;1;binary
AT4G28640;AT5G43700;1;1;binary
AT3G15540;AT4G28640;1;1;HQ
AT1G04240;AT4G28640;1;1;binary
AT4G28640;AT4G29080;1;1;binary
AT3G23030;AT4G28640;1;1;binary
AT4G28640;AT5G25890;1;1;binary
AT2G22670;AT4G28640;1;1;binary
AT3G04730;AT4G28640;1;1;HQ
AT1G04550;AT2G46990;1;1;binary
AT1G04550;AT1G80390;1;1;binary
AT2G33310;AT4G29080;1;1;binary
AT2G33310;AT2G33310;1;1;binary
AT2G33310;AT3G04730;1;1;binary
AT1G04250;AT2G33310;1;1;binary
AT1G80390;AT2G33310;1;1;binary
AT1G80390;AT2G46990;1;1;binary
AT1G80390;AT3G15540;1;1;binary
AT1G80390;AT3G23030;1;1;binary
AT1G80390;AT2G22670;1;1;binary
AT1G80390;AT3G04730;1;1;binary
AT1G15050;AT1G80390;1;1;binary
AT1G04250;AT1G80390;1;1;binary
AT1G80390;AT1G80390;1;1;binary
AT1G80390;AT2G01200;1;1;binary
AT3G04730;AT4G29080;1;1;HQ
AT3G04730;AT3G17600;1;1;binary
AT3G04730;AT5G25890;1;1;HQ
AT2G22670;AT3G04730;1;1;binary
AT3G04730;AT3G16500;1;1;binary
AT3G04730;AT3G04730;1;1;binary
AT1G15050;AT3G04730;1;1;binary
AT1G04250;AT3G04730;1;1;binary
AT1G04250;AT2G46990;1;1;binary
AT1G04250;AT4G29080;1;1;binary
AT1G04250;AT3G17600;1;1;binary
AT1G04250;AT5G25890;1;1;binary
AT1G04250;AT2G22670;1;1;HQ
AT1G04250;AT3G16500;1;1;binary
AT1G04250;AT1G15050;1;1;binary
AT1G51950;AT2G46990;1;1;binary
AT1G51950;AT5G43700;1;1;binary
AT1G51950;AT3G15540;1;1;binary
AT1G51950;AT4G29080;1;1;binary
AT1G51950;AT3G17600;1;1;HQ
AT1G51950;AT3G23030;1;1;binary
AT1G51950;AT4G14560;1;1;HQ
AT1G51950;AT2G22670;1;1;HQ
AT1G51950;AT3G04730;1;1;binary
AT1G04100;AT1G51950;1;1;HQ
AT1G51950;AT1G80390;1;1;binary
AT3G15540;AT3G15540;1;1;HQ
AT3G15540;AT5G25890;1;1;binary
AT2G22670;AT3G15540;1;1;binary
AT3G15540;AT3G16500;1;1;binary
AT1G15050;AT3G15540;1;1;binary
AT2G46990;AT3G23050;1;1;binary
AT2G46990;AT5G25890;1;1;binary
AT2G22670;AT2G46990;1;1;binary
AT2G46990;AT5G57420;1;0;binary
AT1G15050;AT2G46990;1;1;binary
AT3G16500;AT5G25890;1;1;binary
AT4G29080;AT4G29080;1;1;binary
AT3G17600;AT4G29080;1;1;binary
AT4G29080;AT5G25890;1;1;binary
AT2G22670;AT4G29080;1;1;binary
AT1G15050;AT4G29080;1;1;binary
AT3G17600;AT5G25890;1;1;binary
AT2G22670;AT5G25890;1;1;HQ
AT1G15050;AT5G25890;1;1;binary
AT3G17600;AT3G17600;1;1;binary
AT1G15050;AT3G17600;1;1;binary
AT2G01200;AT2G46990;1;1;binary
AT2G01200;AT5G62000;1;1;HQ
AT4G30080;AT5G57420;1;0;binary
AT4G29080;AT5G57420;1;0;binary
AT5G25890;AT5G57420;1;0;binary
AT3G61830;AT5G57420;1;0;binary
AT1G15050;AT5G57420;1;0;binary
AT1G35240;AT5G57420;1;0;binary
AT1G15050;AT5G43700;1;1;binary
AT1G15050;AT2G33310;1;1;binary
AT1G15050;AT3G23030;1;1;binary
AT1G15050;AT4G14560;1;1;binary
AT1G15050;AT2G22670;1;1;binary
AT1G15050;AT3G61830;1;1;binary
AT1G15050;AT3G16500;1;1;binary
AT1G15050;AT5G62000;1;1;binary
AT2G01570;AT3G47620;1;0;HQ
AT1G70700;AT2G01570;1;1;HQ
AT1G14920;AT2G36990;1;0;binary
AT1G14920;AT3G47620;1;0;HQ
AT1G14920;AT3G02150;1;0;binary
AT1G19180;AT3G03450;1;1;binary
AT1G01360;AT1G72770;1;1;HQ
AT4G01026;AT4G26080;1;1;non-binary
AT1G72770;AT4G01026;1;1;HQ
AT1G72770;AT5G53160;1;1;HQ
AT3G50060;AT5G53160;1;1;HQ
AT1G72770;AT4G27920;1;1;HQ
AT1G72770;AT5G45860;1;1;HQ
AT1G72770;AT5G45870;1;1;HQ
AT4G18620;AT4G26080;1;1;HQ
AT1G07430;AT5G05440;1;1;binary
AT1G72770;AT5G05440;1;1;HQ
AT2G29380;AT5G05440;1;1;binary
AT1G72770;AT2G40330;1;1;HQ
AT2G38310;AT4G26080;1;1;HQ
AT1G72770;AT2G38310;1;1;HQ
AT1G07430;AT4G17870;1;1;binary
AT4G17870;AT4G26080;1;1;HQ
AT1G72770;AT4G17870;1;1;HQ
AT4G26080;AT5G46790;1;1;HQ
AT1G72770;AT5G46790;1;1;HQ
AT1G73000;AT4G26080;1;1;binary
AT1G72770;AT1G73000;1;1;HQ
AT1G72770;AT2G26040;1;1;HQ
AT1G02450;AT5G45110;1;0;binary
AT5G06950;AT5G45110;1;0;HQ
AT1G22070;AT5G45110;1;0;binary
AT1G02450;AT1G64280;1;0;HQ
AT1G09415;AT1G64280;1;0;HQ
AT1G64280;AT3G25882;1;0;HQ
AT1G05410;AT3G10140;1;0;binary
AT3G54850;AT5G19010;1;0;binary
AT3G07780;AT5G66720;1;0;binary
AT1G80040;AT5G66720;1;0;binary
AT1G09660;AT2G38610;1;0;binary
AT1G15385;AT4G24840;1;0;binary
AT1G63130;AT3G53630;1;0;binary
AT1G15385;AT3G08530;1;0;binary
AT2G38610;AT3G21215;1;0;binary
AT5G39730;AT5G50130;1;0;binary
AT2G39010;AT4G23400;1;0;binary
AT1G22840;AT4G01920;1;0;binary
AT3G16240;AT4G35580;1;0;binary
AT2G37620;AT5G09810;1;0;binary
AT1G20140;AT5G67140;1;0;HQ
AT1G24050;AT5G54920;1;0;binary
AT2G45850;AT4G12080;1;0;binary
AT1G78100;AT4G28720;1;0;binary
AT3G16240;AT5G22290;1;0;binary
AT2G43370;AT5G61010;1;0;binary
AT2G43370;AT5G53800;1;0;binary
AT2G20130;AT3G13710;1;0;binary
AT1G67800;AT4G23050;1;0;binary
AT1G69810;AT1G69810;1;1;binary
AT3G13710;AT5G17450;1;0;binary
AT1G22920;AT1G67800;1;0;binary
AT2G01770;AT4G19030;1;0;binary
AT2G38360;AT5G58750;1;0;binary
AT2G28240;AT4G32450;1;0;binary
AT1G60600;AT5G22290;1;0;binary
AT2G25810;AT5G22290;1;0;binary
AT3G01660;AT5G22290;1;0;binary
AT1G22760;AT2G37150;1;0;binary
AT2G30590;AT4G08150;1;1;binary
AT3G28715;AT5G23130;1;0;binary
AT1G01910;AT5G44580;1;0;binary
AT3G28715;AT5G63310;1;0;binary
AT5G11980;AT5G38420;1;0;binary
AT1G78310;AT3G45640;1;0;binary
AT2G30590;AT5G61010;1;0;binary
AT1G69690;AT5G38420;1;0;binary
AT3G28715;AT4G01920;1;0;binary
AT3G13720;AT5G49000;1;0;binary
AT3G13710;AT3G29270;1;0;binary
AT1G67800;AT3G13222;1;0;binary
AT1G32700;AT3G07780;1;0;binary
AT1G01910;AT4G19810;1;0;binary
AT3G01300;AT5G61010;1;0;binary
AT1G73360;AT5G38420;1;0;binary
AT1G22760;AT3G49580;1;0;binary
AT1G14340;AT5G58750;1;0;binary
AT1G60670;AT2G21650;1;0;binary
AT3G10260;AT3G13175;1;0;binary
AT3G10260;AT3G61300;1;0;binary
AT1G01910;AT1G05575;1;0;binary
AT1G01910;AT3G59930;1;0;binary
AT1G15750;AT2G46870;1;0;binary
AT1G22630;AT3G19520;1;0;binary
AT1G67865;AT3G13720;1;0;binary
AT3G13720;AT5G16840;1;0;HQ
AT3G03000;AT5G01970;1;0;binary
AT4G35580;AT5G56020;1;0;binary
AT1G77950;AT4G02590;1;0;binary
AT5G07110;AT5G56020;1;0;binary
AT2G01175;AT5G22290;1;0;binary
AT4G28720;AT5G22290;1;0;binary
AT2G01770;AT4G35580;1;0;binary
AT3G13710;AT4G35580;1;0;binary
AT1G48260;AT3G03950;1;0;binary
AT1G64180;AT1G69810;1;0;binary
AT5G01640;AT5G07110;1;0;binary
AT1G14360;AT4G19030;1;0;binary
AT4G10430;AT4G19030;1;0;binary
AT1G47260;AT5G55200;1;0;binary
AT1G19180;AT1G22920;1;0;binary
AT1G14360;AT1G27300;1;0;binary
AT1G27300;AT4G10430;1;0;binary
AT5G02870;AT5G58720;1;0;binary
AT4G28640;AT5G02870;1;0;binary
AT2G47710;AT3G11930;1;0;binary
AT3G24140;AT4G33520;1;0;binary
AT3G23390;AT4G28640;1;0;binary
AT1G29990;AT5G17990;1;0;binary
AT2G39760;AT4G14900;1;0;binary
AT1G78100;AT5G61340;1;0;binary
AT2G20570;AT4G14900;1;0;binary
AT3G20420;AT3G20420;1;0;binary
AT4G01480;AT5G02780;1;0;binary
AT1G03040;AT5G15330;1;0;binary
AT1G27300;AT2G46890;1;0;binary
AT1G27300;AT1G60600;1;0;binary
AT3G17668;AT4G22240;1;0;binary
AT3G09630;AT4G28640;1;0;binary
AT2G41900;AT5G40190;1;0;binary
AT4G35580;AT5G43460;1;0;binary
AT4G35580;AT5G43670;1;0;binary
AT4G00550;AT4G35580;1;0;binary
AT1G24764;AT2G44950;1;0;binary
AT1G22920;AT1G51560;1;0;binary
AT4G32960;AT5G42470;1;0;binary
AT3G59810;AT4G30330;1;0;binary
AT2G44950;AT4G24840;1;0;binary
AT3G03960;AT3G11830;1;0;binary
AT1G17970;AT3G62310;1;0;binary
AT2G34040;AT4G02590;1;0;binary
AT1G23900;AT2G34040;1;0;binary
AT1G07440;AT2G29310;1;0;binary
AT3G16120;AT4G36515;1;0;binary
AT3G24140;AT5G46690;1;0;binary
AT1G65620;AT2G30340;1;0;binary
AT4G03410;AT4G19030;1;0;binary
AT4G14950;AT4G19030;1;0;binary
AT4G02725;AT4G19030;1;0;binary
AT2G46890;AT4G19030;1;0;binary
AT2G34090;AT2G34090;1;0;binary
AT3G12200;AT3G12200;1;0;binary
AT4G29220;AT4G29220;1;0;binary
AT1G29120;AT2G34090;1;0;binary
AT1G22920;AT2G22880;1;0;binary
AT3G21690;AT4G19030;1;0;binary
AT3G48240;AT5G64430;1;0;binary
AT3G13860;AT4G19700;1;0;binary
AT4G28640;AT5G52547;1;0;binary
AT3G49580;AT4G39820;1;0;binary
AT1G01050;AT4G01480;1;0;binary
AT3G52560;AT5G37890;1;0;binary
AT3G48150;AT4G34740;1;0;binary
AT3G60820;AT4G35160;1;0;binary
AT3G16240;AT4G19030;1;0;binary
AT1G50900;AT2G37020;1;0;binary
AT5G09810;AT5G09810;1;0;binary
AT3G55460;AT5G04280;1;0;binary
AT1G47260;AT5G50100;1;0;binary
AT4G19030;AT5G04160;1;0;binary
AT3G13520;AT4G19030;1;0;binary
AT1G15670;AT4G02770;1;0;binary
AT4G22240;AT5G22620;1;0;binary
AT3G13222;AT3G19860;1;0;binary
AT1G12840;AT1G77760;1;0;binary
AT3G44460;AT3G56850;1;0;binary
AT1G01910;AT2G05520;1;0;binary
AT1G01910;AT5G53470;1;0;binary
AT1G19180;AT3G49580;1;0;binary
AT3G49580;AT5G02870;1;0;binary
AT3G29575;AT3G56850;1;0;binary
AT4G10430;AT5G22290;1;0;binary
AT4G10430;AT4G35580;1;0;binary
AT1G48320;AT1G48320;1;0;binary
AT2G31985;AT3G63210;1;0;binary
AT1G04330;AT2G43790;1;0;binary
AT4G19030;AT5G12880;1;0;binary
AT3G47980;AT4G19030;1;0;binary
AT1G15260;AT3G48150;1;0;binary
AT2G40380;AT2G40380;1;0;binary
AT4G33950;AT5G11450;1;0;binary
AT4G13640;AT4G13640;1;0;HQ
AT3G07310;AT4G13640;1;0;binary
AT2G33450;AT4G28640;1;0;binary
AT2G43370;AT5G38600;1;0;binary
AT1G03600;AT5G28900;1;0;binary
AT1G26660;AT3G62790;1;0;binary
AT1G23730;AT1G70410;1;0;binary
AT1G02140;AT5G56290;1;0;binary
AT2G37180;AT4G23400;1;0;HQ
AT4G14160;AT5G38380;1;0;binary
AT3G18060;AT3G46520;1;0;binary
AT4G19030;AT4G31600;1;0;binary
AT2G45860;AT5G56950;1;0;binary
AT1G14340;AT3G59920;1;0;binary
AT3G07780;AT5G11450;1;0;binary
AT1G15260;AT3G13720;1;0;binary
AT3G13720;AT5G11450;1;0;binary
AT5G11450;AT5G37670;1;0;binary
AT4G28040;AT5G22290;1;0;binary
AT4G00150;AT5G66720;1;0;binary
AT2G33210;AT3G49580;1;0;binary
AT4G22250;AT5G66720;1;0;binary
AT2G22640;AT3G53350;1;0;binary
AT1G50575;AT3G19895;1;0;binary
AT2G43370;AT3G11590;1;0;binary
AT1G03600;AT3G13720;1;0;binary
AT1G02140;AT4G22250;1;0;binary
AT2G43370;AT5G25490;1;0;binary
AT2G24180;AT4G19030;1;0;binary
AT1G75950;AT2G02360;1;0;binary
